# SDG Philippines Province Data
# Format: Province|Region|SDG1|SDG2|SDG3|SDG4|SDG5|SDG6|SDG7|SDG8|SDG9|SDG10|SDG11|SDG12|SDG13|SDG14|SDG15|SDG16|SDG17
# Indicators: PovertyIncidence|FoodInsecurityRate|VulnerableHealthScore|LiteracyRate|GenderInequalityScore|CleanWaterVulnerabilityScore|EnergyCapacityScore|LaborForceParticipationRate|InfrastructureCapacityScore|EconomicConstraintsScore|InformalSettlersRate|GarbagePickupRate|MultiHazardExposureScore|MarineProtectedArea|EnvironmentalStressScore|OrganizedViolenceRate|InternetAccessRate
# N/A = No data available | EXCL. = Excluded from dashboard
# Total provinces: 84

Rizal|IV-A|3.33|55|0.348|99.73|0.241|0.288|0.929|63.05|0.668|0.119|2.7|82.75|0.812|EXCL.|0.717|4.44|14.91
Romblon|IV-B|19.57|65|0.51|98.85|0.324|0.419|0.404|62.52|0.53|0.571|0.4|9.83|0.481|EXCL.|0.596|0.34|1.49
Samar|VIII|22.1|83|0.447|95.58|0.525|0.727|0.601|61.14|0.468|0.59|1.8|13.57|0.622|EXCL.|0.351|6.57|2.26
Sarangani|XII|36.02|75|0.387|92.04|0.776|0.515|0.268|65.46|0.363|0.708|2.7|10.77|0.543|EXCL.|0.357|6.33|0.54
Siquijor|VII|7.23|59|0.476|98.82|0.114|0|0.467|60.63|0.641|0.248|0.4|6.25|0.137|EXCL.|0.512|2.02|3.6
Sorsogon|V|19.49|86|0.475|99.09|0.409|0.428|0.62|61.36|0.564|0.546|1.5|25.51|0.648|EXCL.|0.464|7.39|2.46
South Cotabato|XII|13.67|70|0.399|96.45|0.435|0.354|0.638|63.69|0.609|0.325|2.7|31.82|0.601|EXCL.|0.423|6.47|4.43
Southern Leyte|VIII|17.24|56|0.464|98.69|0.317|0.278|0.687|59.91|0.577|0.428|1|22.37|0.718|EXCL.|0.204|2.07|3.84
Sultan Kudarat|XII|24.2|77|0.446|93.46|0.691|0.465|0.336|65.53|0.423|0.499|2.1|9.45|0.627|EXCL.|0.329|8.82|1.53
Sulu|BARMM|74.3|88|0.556|82.99|0.934|0.885|0.056|42.31|0.171|0.936|1.8|9.94|0.131|EXCL.|0.556|27.28|0.26
Surigao Del Norte|XIII|27.4|70|0.73|98.85|0.482|0.215|0.718|55.65|0.621|0.557|2.2|26.86|0.605|EXCL.|0.533|7.65|3.64
Surigao Del Sur|XIII|19.03|72|0.684|97.89|0.506|0.481|0.558|61.21|0.536|0.498|2.7|30.18|0.649|EXCL.|0.317|7.54|3.05
Tarlac|III|7.57|49|0.26|99.03|0.438|0.35|0.883|60.63|0.683|0.238|2.4|35.49|0.717|EXCL.|0.29|3.09|5.9
Tawi-Tawi|BARMM|14.67|N/A|0.546|87.2|0.891|0.867|0.245|48.84|0.228|0.534|2.1|5.87|0.002|EXCL.|0.467|4.69|0.77
Zambales|III|10.63|75|0.396|98.89|0.4|0.375|0.87|62.62|0.566|0.27|0.6|52.07|0.725|EXCL.|0.63|7.61|8.37
Zamboanga Del Norte|IX|36.77|85|0.53|95.89|0.567|0.475|0.358|66.63|0.418|0.752|1.5|12.38|0.472|EXCL.|0.388|5.13|2.01
Zamboanga Del Sur|IX|17.55|56|0.434|96.68|0.59|0.537|0.529|63.32|0.501|0.417|1.7|26.46|0.603|EXCL.|0.457|5.35|5.2
Zamboanga Sibugay|IX|27.1|75|0.424|97.19|0.557|0.613|0.324|58.48|0.437|0.641|3.1|10.83|0.359|EXCL.|0.258|5.29|1.56
